alias_name,standard_name
SWup_Avg,SWin_Avg
SWdn_Avg,SWout_Avg
LWup_Avg,LWin_Avg
LWdn_Avg,LWout_Avg
SWnet_Avg,SWnet_Avg
LWnet_Avg,LWnet_Avg
SWalbedo_Avg,Albedo_Avg
NR_Avg,Rnet_Avg
Tair_1_Avg,Tair_1_Avg
RH_1_Avg,RH_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_2_Avg,RH_2_Avg
WindSpeed,WS_Avg
WindSpeed_rs,WSrs_Avg
WindDir,WDrs_Avg
WindDir_sd,WD_StdCS
WindDir_uv,WDuv_Avg
Tsoil_Avg,Tsoil_Avg
SoilHeatFlux_1_Avg,SHF_1_Avg
SoilHeatFlux_2_Avg,SHF_2_Avg
SoilMoisture_1_Avg,SM_1_Avg
SoilMoisture_2_Avg,SM_2_Avg
SoilMoisture_3_Avg,SM_3_Avg
Rainfall_Tot,RF_Tot
